# Open,High,Low,Volume,Close
6660,6980,6660,63005000,0.103499
7020,7120,6930,43105000,0.103499
6800,6910,6800,33605000,0.101275
6900,7140,6790,48595000,0.103944
7060,7060,6800,54505000,0.10083
6770,6980,6730,42195000,0.103499
7000,7310,7000,61410000,0.1078
7250,7400,7150,39260000,0.10602
7300,7420,7260,36935000,0.109134
7500,7690,7410,57465000,0.110913
7560,7970,7400,78395000,0.118179
7950,8100,7860,60430000,0.11981
7980,7980,7730,70795000,0.115362
7760,7760,7380,77600000,0.109431
7400,7470,7320,52740000,0.109431
7380,7390,7110,65180000,0.105575
7150,7300,7120,71690000,0.106613
7190,7430,7110,55420000,0.109431
7440,7760,7440,42665000,0.114176
7700,7820,7630,42525000,0.115362
8010,8220,7980,77025000,0.120403
8000,8170,7950,48785000,0.120552
8130,8270,7920,61985000,0.117438
8060,8340,8040,61720000,0.12159
8200,8560,8110,59890000,0.126631
8460,8640,8360,39980000,0.128114
8430,8520,8250,51010000,0.122479
8140,8230,7990,56155000,0.118624
7800,7930,7610,53330000,0.112989
7660,7770,7560,44785000,0.113286
7740,7740,7530,51900000,0.112545
7440,7490,7260,55535000,0.109727
7130,7220,6960,55135000,0.103203
6810,7040,6700,72025000,0.104389
7160,7380,7130,53325000,0.107503
7540,7560,7240,74720000,0.107355
7010,7100,6640,100015000,0.099051
6560,6770,6410,67570000,0.099496
6940,7170,6900,59730000,0.106168
7360,7620,7340,70610000,0.111507
7520,7530,7390,30645000,0.109727
7500,7670,7470,40355000,0.113434
7600,7610,7400,30245000,0.109727
7290,7360,7100,40335000,0.105575
7100,7400,7030,37960000,0.109727
7340,7380,7190,37015000,0.106762
7360,7420,7300,34335000,0.108541
7200,7390,7190,19350000,0.107206
7250,7400,7210,23475000,0.109579
7300,7300,7080,39030000,0.107355
7130,7210,7040,31370000,0.105279
7080,7130,6840,44735000,0.101424
6720,7080,6720,34900000,0.104093
6820,7080,6810,28405000,0.104389
7160,7250,7090,25415000,0.105427
6910,6990,6880,39460000,0.102313
6980,7050,6960,28000000,0.103796
7000,7020,6880,22005000,0.103796
6930,7040,6920,42905000,0.104389
7070,7320,7060,37845000,0.106613
7220,7290,7160,28255000,0.106465
7400,7500,7230,41960000,0.107651
7260,7320,6870,63065000,0.103351
6800,6880,6670,42950000,0.101127
6700,6910,6610,48655000,0.10083
6630,6820,6630,27915000,0.100534
6900,6940,6760,30155000,0.100386
6600,6610,6180,64210000,0.091637
6380,6430,6220,44755000,0.092823
6500,6690,6440,45560000,0.097568
6440,6800,6360,40600000,0.100089
6630,6830,6530,40585000,0.100237
6850,7000,6850,37020000,0.103796
7000,7210,6980,45015000,0.106168
7400,7410,7100,54385000,0.106465
7200,7300,7110,33070000,0.107355
7100,7170,6890,35655000,0.102906
6740,6780,6630,37980000,0.09831
6880,7090,6820,40000000,0.104389
6960,7220,6960,36755000,0.104686
7200,7230,7020,42635000,0.104982
7070,7210,7050,40105000,0.105872
7000,7010,6760,43190000,0.101275
6570,6690,6540,39480000,0.097865
6520,6900,6430,41355000,0.102313
6660,6740,6590,33850000,0.099348
7000,7020,6780,47515000,0.100534
6590,6660,6340,63865000,0.094899
6480,6550,6380,28925000,0.096382
6660,6780,6660,31170000,0.098754
6650,6740,6620,27480000,0.098606
6670,6670,6420,26135000,0.096234
6350,6440,6240,51860000,0.094751
6310,6340,6160,32540000,0.091637
6100,6100,5970,61465000,0.088968
6170,6280,6130,35240000,0.092527
6400,6400,6220,47335000,0.092972
6390,6450,6350,31175000,0.094603
6380,6420,6260,38830000,0.09401
6340,6490,6340,19635000,0.096234
6440,6460,6360,35980000,0.095492
6600,6660,6500,31750000,0.09653
6640,6700,6570,23175000,0.098754
6800,6940,6770,42485000,0.10261
6920,7000,6850,40045000,0.103796
7040,7060,6930,39610000,0.103055
6840,6840,6770,31810000,0.100979
6810,6830,6660,33835000,0.098754
6500,6660,6500,29830000,0.097272
6720,6720,6480,28695000,0.097272
6520,6640,6480,31530000,0.098161
6590,6800,6570,28810000,0.10083
6820,6840,6650,22945000,0.098903
6520,6560,6430,33640000,0.096085
6560,6570,6420,17770000,0.095196
6370,6490,6360,27970000,0.095492
6530,6570,6430,22015000,0.095937
6490,6600,6480,17320000,0.097865
6670,6790,6620,26610000,0.099792
6770,6860,6710,32885000,0.10172
6730,6740,6630,23920000,0.09831
6680,6680,6540,19385000,0.097123
6680,6840,6610,33655000,0.101424
6640,6700,6600,28480000,0.098754
6700,6790,6670,21495000,0.099348
6560,6600,6370,44800000,0.095344
6260,6380,6220,44650000,0.094603
6260,6340,6080,42295000,0.091044
6320,6370,6180,42535000,0.09312
6160,6320,6140,30845000,0.091785
5990,6000,5880,40780000,0.088523
5820,5990,5820,34580000,0.088227
6140,6160,5960,36470000,0.08882
5840,6150,5840,34510000,0.090747
6060,6080,5920,22180000,0.087782
5890,6000,5890,29610000,0.088968
6040,6040,5920,27245000,0.088227
5810,5870,5450,72530000,0.081109
5670,5670,5310,67420000,0.081109
5700,5810,5660,48320000,0.085409
5860,6050,5750,45910000,0.088968
6100,6140,5950,52820000,0.090451
6060,6220,5930,58125000,0.091192
6400,6610,6320,90720000,0.096827
6500,6630,6420,32510000,0.096085
6630,6640,6260,40335000,0.094751
6410,6560,6270,46750000,0.097272
6650,6760,6640,50295000,0.099051
6610,6840,6610,45285000,0.10083
6960,7260,6950,57720000,0.107058
7190,7260,7060,45245000,0.104686
6940,6980,6640,63295000,0.100237
6900,6960,6750,41280000,0.102313
6860,6920,6770,27225000,0.101127
7080,7370,7030,68795000,0.108986
7390,7400,7140,46110000,0.107206
7360,7370,7230,32750000,0.108393
7310,7380,7180,41545000,0.108689
7120,7190,7040,36000000,0.106613
7120,7120,6900,27855000,0.103499
6790,6950,6770,33100000,0.102758
6990,7020,6890,38210000,0.103499
6900,6980,6780,31635000,0.10083
7020,7160,6990,41990000,0.106168
7160,7170,6990,28460000,0.104093
6920,7050,6920,20825000,0.104537
7060,7210,6990,40270000,0.106762
7420,7470,7360,55060000,0.109431
7560,7600,7460,48550000,0.110617
7500,7600,7460,32420000,0.112248
7590,7640,7490,39225000,0.112248
7440,7600,7440,23900000,0.112693
7740,7850,7660,38735000,0.114176
7710,7760,7650,28085000,0.114769
7760,7900,7700,37660000,0.116548
7720,7750,7470,42435000,0.110765
7380,7500,7270,46550000,0.110765
7400,7480,7330,27790000,0.11032
7460,7480,7300,39300000,0.110469
7280,7320,7240,31780000,0.108096
7340,7350,7210,35140000,0.108541
7310,7360,7310,57605000,0.109134
7300,7330,7180,31630000,0.107355
7060,7120,6960,50650000,0.103351
7100,7140,7040,45230000,0.104834
6940,7200,6900,31875000,0.10602
7120,7200,7010,30960000,0.106168
7160,7180,6940,25675000,0.103203
6900,6980,6830,24370000,0.101572
6850,6880,6740,26020000,0.100682
6700,6870,6680,23135000,0.099644
6610,6700,6260,49905000,0.09312
6380,6460,6300,25580000,0.095344
6700,7000,6640,55530000,0.102017
6940,7030,6880,24970000,0.103648
7180,7180,6840,28895000,0.101572
6920,6930,6770,25210000,0.10083
6620,6660,6420,75290000,0.095789
6600,6650,6340,62640000,0.096085
6400,6690,6370,31445000,0.099199
6600,6650,6500,26320000,0.09742
6600,6670,6440,32735000,0.096085
6400,6600,6320,40380000,0.097865
6550,6570,6410,24405000,0.095047
6240,6420,6240,18610000,0.094899
6360,6400,6290,26675000,0.094603
6290,6370,6180,32670000,0.092378
6230,6370,6150,36700000,0.093713
6320,6340,6130,33445000,0.092823
6020,6100,5970,46465000,0.088671
5980,6140,5980,26430000,0.091044
6070,6130,5800,46520000,0.086447
5860,5910,5790,35065000,0.086447
5780,5890,5720,28670000,0.086892
5860,5960,5840,40850000,0.087189
5780,5910,5780,21430000,0.086299
5810,5840,5630,38460000,0.083926
5600,5640,5400,48695000,0.081257
5420,5460,5350,39390000,0.079923
5400,5510,5190,52050000,0.080516
5320,5600,5320,38100000,0.083037
5580,5610,5430,38935000,0.080516
5400,5460,5320,31730000,0.080961
